,precision,recall,f1-score,support
AbdomenCT,0.9915730337078652,0.5273904382470119,0.6885565669700909,2008.0
BreastMRI,0.438743706545193,1.0,0.6098983502749541,1830.0
ChestCT,0.9702233250620348,0.9913793103448276,0.9806872335089041,1972.0
CXR,0.0,0.0,0.0,2048.0
Hand,0.902569074163839,0.9578189300411523,0.9293735962066383,1944.0
HeadCT,0.791038525963149,0.9502012072434608,0.8633455210237659,1988.0
accuracy,0.7290076335877863,0.7290076335877863,0.7290076335877863,0.7290076335877863
macro avg,0.6823579442403469,0.7377983143127421,0.6786435446640589,11790.0
weighted avg,0.6814621629749511,0.7290076335877863,0.6747823544342341,11790.0
